,word,count
1023,22,222
1024,gripe,222
1025,brasilia,222
1026,louco,222
1027,solidariedade,222
1028,humanidade,222
1029,genocida,221
1030,17,221
1031,sono,220
1032,si,220
1033,estiver,220
1034,caminho,220
1035,comendo,220
1036,brasileira,219
1037,grave,219
1038,cozinha,219
1039,arte,219
1040,cheio,219
1041,turma,218
1042,plena,218
1043,link:,217
1044,#butecobohemiaemcasa,216
1045,abraco,216
1046,sejam,216
1047,21,216
1048,acordo,216
1049,br,215
1050,apesar,215
1051,acao,215
1052,talvez,215
1053,casas,214
1054,#domingo,214
1055,uti,214
1056,news,214
1057,#distanciamentosocial,214
1058,artistas,213
1059,conter,213
1060,temporada,213
1061,leitura,213
1062,#livemariliamendonca,213
1063,energia,212
1064,leitos,212
1065,salvador,212
1066,funcionarios,212
1067,sabemos,211
1068,querido,211
1069,#pascoa2020,211
1070,condominio,211
1071,pedido,211
1072,#impeachmentdobolsonarourgente,211
1073,garantir,210
1074,ira,210
1075,#juntossomosmaisfortes,210
1076,virtual,210
1077,compartilhe,210
1078,#naoaguentomais,209
1079,corre,209
1080,errado,208
1081,empatia,208
1082,curtindo,208
1083,pensa,207
1084,proximos,207
1085,100,207
1086,oi,207
1087,regioes,206
1088,voz,206
1089,atualizacao,206
1090,compartilhar,205
1091,adianta,205
1092,diferenca,205
1093,trabalha,205
1094,mudar,205
1095,unidos,204
1096,rj,204
1097,traz,204
1098,passe,204
1099,digital,204
1100,historico,204
1101,#covid19nasfavelas,204
1102,hahaha,203
1103,@uol,203
1104,20h,203
1105,mostrar,203
1106,madrugada,202
1107,duvidas,202
1108,empresarios,202
1109,fase,202
1110,16,202
1111,morreu,202
1112,26,202
1113,#gratidao,202
1114,facam,202
1115,estudo,202
1116,deixando,202
1117,bolo,201
1118,mantenha,201
1119,humano,201
1120,25,201
1121,oq,201
1122,saiu,200
1123,horario,200
1124,@uolnoticias,200
1125,cura,200
1126,relacao,200
1127,campo,200
1128,teu,200
1129,palavras,200
1130,suspeitos,200
1131,vir,199
1132,cantando,199
1133,alo,199
1134,pega,199
1135,...,199
1136,#livejorgeemateus,199
1137,essencial,197
1138,salario,197
1139,hoje?,197
1140,peca,197
1141,calma,196
1142,marilia,196
1143,passo,196
1144,jornal,196
1145,massa,196
1146,postando,196
1147,alegria,196
1148,porta,195
1149,#quarentinelife,195
1150,secretaria,195
1151,ultimos,195
1152,levando,195
1153,nocao,195
1154,positivo,195
1155,reducao,195
1156,criar,194
1157,sabem,193
1158,basta,193
1159,pijama,193
1160,feriado,193
1161,conseguir,193
1162,etc,193
