,word,count
540,viu,25
541,ar,25
542,mascara,25
543,adianta,25
544,doenca,25
545,tomando,25
546,moro,25
547,fiquei,25
548,banho,25
549,cedo,25
550,ia,24
551,dizendo,24
552,show,24
553,meses,24
554,canal,24
555,senhor,24
556,amo,24
557,6,24
558,medida,24
559,recado,24
560,#perguntacorona,24
561,videos,24
562,dela,24
563,lista,24
564,saia,24
565,passei,24
566,agr,24
567,epidemia,23
568,maximo,23
569,contagio,23
570,dois,23
571,contato,23
572,manha,23
573,varias,23
574,trabalha,23
575,@programapanico,23
576,??..,23
577,aprender,23
578,terceiro,23
579,veio,23
580,aqueles,23
581,???????,23
582,postar,23
583,pobre,23
584,sala,23
585,cursos,23
586,filhos,23
587,negocio,23
588,acha,23
589,quarenta,23
590,q..,23
591,comecando,23
592,cabelo,23
593,aguento,23
594,gripe,23
595,novas,23
596,celular,23
597,rede,22
598,sistema,22
599,alo,22
600,sociais,22
601,tentando,22
602,tu,22
603,servico,22
604,fe,22
605,i..,22
606,mundial,22
607,proximos,22
608,chega,22
609,contas,22
610,amigo,22
611,atencao,22
612,porra,22
613,comigo,22
614,fase,22
615,realidade,22
616,tiago,22
617,#fiquememcasa,22
618,16,22
619,orientacoes,22
620,escola,22
621,feliz,22
622,respeito,22
623,realmente,22
624,acabei,22
625,tendo,22
626,continua,22
627,artigo,21
628,da..,21
629,filho,21
630,somos,21
631,longe,21
632,comecei,21
633,stories,21
634,num,21
635,facam,21
636,atitude,21
637,#euficoemcasa,21
638,brasileiros,21
639,acordar,21
640,esperando,21
641,rj,21
642,porem,21
643,passa,21
644,parabens,21
645,aniversario,21
646,sentido,21
647,governador,20
648,saiu,20
649,coracao,20
650,vivendo,20
651,#coronavirusbrazil,20
652,surto,20
653,escolas,20
654,tive,20
655,mes,20
656,tres,20
657,equipe,20
658,achando,20
659,pijama,20
660,pros,20
661,conscientizacao,20
662,domingo,20
663,acabou,20
664,#coronaviruspandemic,20
665,opcao,20
666,comendo,20
667,#coronavirusnobrasil..,20
668,.,20
669,diante,20
670,aproveitando,20
671,nenhum,20
672,libera,20
673,certo,20
674,tentar,20
675,co..,20
676,#coronavirusbrasil..,20
677,ministerio,20
678,somente,20
679,evite,20
680,#prevencao,20
681,perder,20
682,irresponsavel,20
683,roupa,20
684,sociedade,19
685,privilegio,19
686,?????,19
687,feito,19
688,quarentena?,19
689,coronavirus:,19
690,na..,19
691,pelas,19
692,vizinhos,19
693,lave,19
694,ve,19
695,sido,19
696,parem,19
697,aquela,19
698,bater,19
699,noticias,19
700,querido,19
701,exemplo,19
702,final,19
703,triste,19
704,twitter,19
705,vo,19
706,eventos,19
707,homem,19
708,saudades,19
709,aproveite,19
710,inteiro,19
711,eu:,19
712,outra,19
713,saindo,19
714,isto,19
